id	date	title	url
267046	2023-03-26	У Бердянську окупанти видаватимуть перепустки для переміщення, але після проходження «фільтрації» — Генштаб	https://nikvesti.com/news/267046
267708	2023-04-07	«Нам потрібен працюючий бізнес та робочі місця», — Миколаївщину відвідала міністр економіки Свириденко	https://nikvesti.com/news/267708
269683	2023-05-19	Мінкультури готує декілька досьє для внесення до списку ЮНЕСКО	https://nikvesti.com/news/269683
271164	2023-06-15	Попри обіцянки про відкритість Табунщик провів таємну сесію облради, де проголосували за підвищення йому премії та надбавки	https://nikvesti.com/news/271164
271571	2023-06-22	«Не було таких планів», – Кім про те, що його можуть відправити керувати Києвом	https://nikvesti.com/news/271571
271606	2023-06-22	«Є питання до заступників», — нардеп Чорноморов про роботу Миколаївської ОВА	https://nikvesti.com/news/271606
271765	2023-06-26	«Кубок міста-героя»: в Миколаєві пройшов перший з початку повномасштабного вторгнення турнір з самбо	https://nikvesti.com/news/271765
271833	2023-06-27	Підлітків у Бердянську застрелили снайпери: правозахисники розкрили деталі злочину	https://nikvesti.com/news/271833
271847	2023-06-27	Розпочалася повторна перевірка, — в Миколаївській ОВА розповіли про ситуацію з укриттями по області	https://nikvesti.com/news/271847
272552	2023-07-11	«Гога, він же Гоша,  Валєра, Гоня», — Кім назвав першого заступника Решетілова «своїм Єрмаком»	https://nikvesti.com/news/272552
272631	2023-07-12	«Він взяв цивільний напрямок оборони, а я військовий», — Марченко пояснив, як став для Кіма «своїм Залужним»	https://nikvesti.com/news/272631
272802	2023-07-15	«Оборона Миколаєва — одна з найстратегічніших перемог у цій війні», — полковник СБУ Костенко	https://nikvesti.com/news/272802
272968	2023-07-19	Генерал-майору Марченку, який керував обороною Миколаєва, благодійники передали безпілотники	https://nikvesti.com/news/272968
273173	2023-07-22	Миколаївський спортсмен отримає ₴100 тис. за визначні досягнення	https://nikvesti.com/news/273173
273664	2023-07-31	На Миколаївщині відбувся кінний чемпіонат для дітей та дорослих	https://nikvesti.com/news/273664
275184	2023-08-29	У Миколаєві вшанували памʼять полеглих захисників, що загинули в боротьбі за незалежність України	https://nikvesti.com/news/275184
275220	2023-08-30	На Миколаївщині пройшов шаховий турнір «Інгульські мости»	https://nikvesti.com/news/275220
275600	2023-09-05	Благодійник передали миколаївським захисникам бронежилети та квадракоптер	https://nikvesti.com/news/275600
275870	2023-09-09	У Миколаєві до Дня міста відбувся чемпіонат Кубку мера з футболу: його присвятили ЗСУ	https://nikvesti.com/news/275870
277019	2023-09-29	У Миколаєві відбувся відкритий чемпіонат області з художньої гімнастики	https://nikvesti.com/news/277019
277358	2023-10-05	Перспективи відновлення зрошення на Миколаївщині: відбулась робоча зустріч з питань діяльності ОВК «Інгулецька»	https://nikvesti.com/news/277358
277361	2023-10-05	При Миколаївський ОВА створять робочу групу «Прозорість та відкритість»	https://nikvesti.com/news/277361
278508	2023-10-27	У миколаївському парку Перемоги висадили молоді сосни	https://nikvesti.com/news/278508
279229	2023-11-09	У Миколаївській ОВА відзвітували про результати діяльності робочої групи «Прозорість та відкритість»	https://nikvesti.com/news/279229
281603	2023-12-24	На Миколаївщині заміновано 30% території, — ОВА	https://nikvesti.com/news/281603
281797	2023-12-28	Зміна секретаря Южноукраїнської міськради була законною, — Кім	https://nikvesti.com/news/281797
